name,group,url,sources,headers_json,status,pl_ms,seg_ms,seg_bytes,codec,w,h,verdict
TVB Drama,港澳台,https://cdn.qd.je/163189/tvbd,01,{},ok,762,1785,200001,h264,1920,1080,pass
TVB 功夫台,港澳台,https://cdn.qd.je/163189/yzwx,01,{},ok,1875,865,200001,h264,1280,720,pass
星河頻道,港台综艺,https://cdn.qd.je/163189/tvbxh,01,{},ok,1052,669,200001,h264,1280,720,pass
星河頻道,港台综艺,https://cdn.qd.je/163189/xinghe,01,{},ok,3456,885,200001,h264,1280,720,pass
星河頻道,港台综艺,https://cdn.qd.je/163189/tvbxh2,01,{},ok,1958,571,200001,h264,1920,1080,pass
澳視澳門,港台综艺,https://cdn.qd.je/163189/asam,01,{},ok,1277,867,200001,h264,1920,1080,pass
澳門衛星,港澳台,https://cdn.qd.je/163189/as,01,{},ok,1459,576,200001,h264,1920,1080,pass
澳門體育,港澳台,https://cdn.qd.je/163189/amty,01,{},ok,1736,1382,200001,h264,1920,1080,pass
澳門綜藝,港澳台,https://cdn.qd.je/163189/amzy,01,{},ok,1972,759,200001,h264,1920,1080,pass
澳視澳門,港台综艺,https://cdn.qd.je/163189/amlh,01,{},ok,1137,1167,200001,h264,1920,1080,pass
天映頻道「新加坡」,地方,https://cdn.qd.je/163189/typd,01,{},http-404,1754,0,0,,,,fail
天映經典「新加坡」,地方,https://cdn.qd.je/163189/ccm,01,{},ok,1665,889,200001,h264,1024,576,pass
天映頻道「马来西亚」,地方,https://cdn.qd.je/163189/typd2,01,{},ok,1357,1570,200001,h264,1920,1080,pass
天映經典「馬來西亞」,地方,https://cdn.qd.je/163189/ccm2,01,{},ok,2273,767,200001,h264,720,540,pass
Astro AOD,海外·综合,https://cdn.qd.je/163189/aod,01,{},ok,1757,876,200001,h264,1920,1080,pass
Astro 歡喜台,地方,https://cdn.qd.je/163189/hxt,01,{},ok,1659,791,200001,h264,1920,1080,pass
iQIYI,海外·综合,https://cdn.qd.je/163189/iqiyi,01,{},ok,1478,656,200001,h264,1920,1080,pass
八度空間,地方,https://cdn.qd.je/163189/8tv,01,{},ok,1087,870,200001,h264,1920,1080,pass
Channel 5 (TH),海外·综合,https://cdn.qd.je/163189/ch5,01,{},ok,1844,594,200001,h264,1920,1080,pass
Channel 8 (SG),新马,https://cdn.qd.je/163189/ch8,01;02,{},ok,1171,626,200001,h264,1920,1080,pass
Channel U,新马,https://cdn.qd.je/163189/chu,01;02,{},ok,968,664,200001,h264,1920,1080,pass
CCTV1 综合,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv1,01,{},ok,1721,983,200001,h264,1280,720,pass
CCTV2 财经,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv2,01,{},ok,1829,826,200001,h264,1920,1080,pass
CCTV3 综艺,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv3,01,{},ok,1364,648,200001,h264,1280,720,pass
CCTV4 中文国际,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv4,01,{},ok,2103,1049,200001,h264,1920,1080,pass
CCTV5 体育,央视,https://cdn.qd.je/163189/cctv5,01,{},ok,1350,1089,200001,h264,1920,1080,pass
CCTV5 体育,央视,https://cdn.qd.je/163189/cctv5-2,01,{},variant-http-0,372,0,0,,,,fail
CCTV5+ 体育赛事,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv5p,01,{},ok,1522,629,200001,h264,1280,720,pass
CCTV5+ 体育赛事,央视,https://cdn.qd.je/163189/cctv5p-2,01,{},variant-http-0,350,0,0,,,,fail
CCTV6 电影,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv6,01,{},ok,1524,575,200001,h264,1280,720,pass
CCTV7 国防军事,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv7,01,{},ok,1736,837,200001,h264,1920,1080,pass
CCTV8 电视剧,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv8,01,{},ok,1746,1075,200001,h264,1920,1080,pass
CCTV9 纪录,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv9,01,{},ok,1854,971,200001,h264,1920,1080,pass
CCTV10 科教,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv10,01,{},ok,1648,1168,200001,h264,1280,720,pass
CCTV11 戏曲,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv11,01,{},ok,1330,788,200001,h264,1920,1080,pass
CCTV12 社会与法,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv12,01,{},ok,1331,1180,200001,h264,1920,1080,pass
CCTV13 新闻,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv13,01,{},ok,1346,769,200001,h264,1920,1080,pass
CCTV13 新闻,央视,https://cdn.qd.je/163189/cctv13-2,01,{},seg-http-503,2868,8523,103,,,,fail
CCTV14 少儿,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv14,01,{},ok,1954,877,200001,h264,1920,1080,pass
CCTV15 音乐,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv15,01,{},ok,2992,2182,200001,h264,1280,720,pass
CCTV16 奥林匹克,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv16,01,{},ok,3393,1129,200001,h264,1920,1080,pass
CCTV16 奥林匹克,央视,https://cdn.qd.je/163189/cctv16-2,01,{},ok,2030,2283,200001,h264,1920,1080,pass
CCTV17 农业农村,央视,https://php.jdshipin.com/TVOD/iptv.php?id=cctv17,01,{},ok,1626,1666,200001,h264,1920,1080,pass
五星体育,体育,https://cdn.qd.je/163189/wxty,01,{},ok,1537,669,200001,h264,1920,1080,pass
重温经典,数字频道,https://cdn.qd.je/163189/cwjd2,01,{},ok,1231,1933,200001,h264,1920,1080,pass
重温经典,数字频道,https://cdn.qd.je/163189/cwjd,01,{},ok,1755,767,200001,h264,1920,1080,pass
广东珠江,地方,https://cdn.qd.je/163189/gdzj,01,{},ok,666,594,200001,h264,1920,1080,pass
广东体育,体育,https://cdn.qd.je/163189/gdty,01,{},ok,1781,1972,200001,h264,1920,1080,pass
广州综合,地方,https://cdn.qd.je/163189/gzzh,01,{},ok,1142,760,200001,h264,1280,720,pass
广州新闻,地方,https://cdn.qd.je/163189/gzxw,01,{},ok,865,773,200001,h264,1280,720,pass
广州南国都市,地方,https://cdn.qd.je/163189/ngds,01,{},ok,1244,10039,200001,h264,1920,1080,pass
海峡卫视,卫视,https://cdn.qd.je/163189/hxws,01,{},ok,3965,1568,200001,h264,1920,1080,pass
海峡卫视,卫视,https://cdn.qd.je/163189/hxws2,01,{},ok,1452,700,200001,h264,1920,1080,pass
龍華電影台,港台综艺,https://cdn.qd.je/163189/lhdy,01,{},ok,1111,1560,200001,h264,1920,1080,pass
龍華經典台,港台综艺,https://cdn.qd.je/163189/lhjd,01,{},ok,1580,753,200001,h264,1920,1080,pass
龍華偶像台,港台综艺,https://cdn.qd.je/163189/lhox,01,{},ok,1255,1060,200001,h264,1920,1080,pass
龍華日韓台,港台综艺,https://cdn.qd.je/163189/lhrh,01,{},ok,1260,729,200001,h264,1920,1080,pass
龍華戲劇台,港台综艺,https://cdn.qd.je/163189/lhxj,01,{},ok,1173,883,200001,h264,1920,1080,pass
龍華洋片台,港台综艺,https://cdn.qd.je/163189/lhyp,01,{},ok,1019,1020,200001,h264,1920,1080,pass
龍華卡通台,港台综艺,https://cdn.qd.je/163189/lhkt,01,{},ok,692,575,200001,h264,1280,720,pass
金光布袋戲,地方,https://cdn.qd.je/163189/jgbdx,01,{},http-404,4380,0,0,,,,fail
金光布袋戲,地方,https://cdn.qd.je/163189/jgbdx2,01,{},variant-http-0,378,0,0,,,,fail
民視影劇台,港澳台,https://cdn.qd.je/163189/msyj,01,{},variant-http-0,561,0,0,,,,fail
公視戲劇,港澳台,https://cdn.qd.je/163189/gsxj,01,{},variant-http-0,449,0,0,,,,fail
采昌影劇台,地方,https://cdn.qd.je/163189/ccyj,01,{},variant-http-0,352,0,0,,,,fail
靖天映畫,地方,https://cdn.qd.je/163189/jtyh,01,{},variant-http-0,354,0,0,,,,fail
靖天戲劇台,地方,https://cdn.qd.je/163189/jtxj,01,{},variant-http-0,265,0,0,,,,fail
靖天電影台,地方,https://cdn.qd.je/163189/jtdy,01,{},variant-http-0,661,0,0,,,,fail
靖洋戲劇台,地方,https://cdn.qd.je/163189/jyxj,01,{},variant-http-0,258,0,0,,,,fail
影迷數位電影台,地方,https://cdn.qd.je/163189/ymswdyt,01,{},variant-http-0,164,0,0,,,,fail
amc電影台,地方,https://cdn.qd.je/163189/amc,01,{},variant-http-0,566,0,0,,,,fail
CinemaWorld,海外·综合,https://cdn.qd.je/163189/cinemaworld,01,{},variant-http-0,430,0,0,,,,fail
MCE 我的歐洲電影,地方,https://cdn.qd.je/163189/mce,01,{},variant-http-0,349,0,0,,,,fail
經典電影台,地方,https://cdn.qd.je/163189/jddyt,01,{},variant-http-0,504,0,0,,,,fail
電影原聲台CMusic,地方,https://cdn.qd.je/163189/cmusic,01,{},variant-http-0,868,0,0,,,,fail
DreamWorks 夢工廠動畫,地方,https://cdn.qd.je/163189/dreamworks,01,{},variant-http-0,954,0,0,,,,fail
精選動漫台,地方,https://cdn.qd.je/163189/jxdmt,01,{},variant-http-0,354,0,0,,,,fail
緯來電影台,港台综艺,https://cdn.qd.je/163189/wldy,01,{},variant-http-0,583,0,0,,,,fail
緯來戲劇台,港台综艺,https://cdn.qd.je/163189/wlxj,01,{},variant-http-0,352,0,0,,,,fail
緯來體育台,港澳台,https://cdn.qd.je/163189/wlty,01,{},variant-http-0,558,0,0,,,,fail
龍祥時代電影台,港台综艺,https://cdn.qd.je/163189/lxsd,01,{},variant-http-0,564,0,0,,,,fail
東森電影台,港台综艺,https://cdn.qd.je/163189/dsdy,01,{},variant-http-0,585,0,0,,,,fail
東森戲劇台,港台综艺,https://cdn.qd.je/163189/dsxj,01,{},variant-http-0,668,0,0,,,,fail
東森洋片台,港台综艺,https://cdn.qd.je/163189/dsyp,01,{},variant-http-0,851,0,0,,,,fail
翡翠台,港台新闻,https://php.946985.filegear-sg.me/mytv265.php?id=J,01,{},not-video,4520,4520,116924,unknown,,,fail
翡翠台 4K,港台新闻,https://php.946985.filegear-sg.me/mytv265.php?id=JUHD,01,{},not-video,7114,7114,117038,unknown,,,fail
TVB Plus,港台综艺,https://php.946985.filegear-sg.me/mytv265.php?id=B,01,{},not-video,10611,10611,128480,unknown,,,fail
無綫新聞台,港台新闻,https://php.946985.filegear-sg.me/mytv265.php?id=C,01,{},not-video,1656,1656,78690,unknown,,,fail
明珠台,港台综艺,https://php.946985.filegear-sg.me/mytv265.php?id=P,01,{},not-video,1899,1899,57654,unknown,,,fail
娛樂新聞台,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CTVE,01,{},short-body,2455,2455,22219,,,,fail
SUPER FREE,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=CWIN,01,{},short-body,1857,1857,22377,,,,fail
翡翠台,港台新闻,https://php.946985.filegear-sg.me/mytv265.php?id=TVG,01,{},short-body,2055,2055,17804,,,,fail
千禧經典台,港台综艺,https://php.946985.filegear-sg.me/mytv265.php?id=CTVC,01,{},short-body,1869,1869,18390,,,,fail
華語劇台,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CDR3,01,{},short-body,1677,1677,21808,,,,fail
粵語片台,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CCLM,01,{},short-body,1863,1863,11922,,,,fail
亞洲劇台,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CTVS,01,{},short-body,1898,1898,22902,,,,fail
黃金華劇台,地方,https://php.946985.filegear-sg.me/mytv265.php?id=TVO,01,{},short-body,1877,1877,27464,,,,fail
戲曲台,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CCOC,01,{},short-body,1584,1584,14768,,,,fail
美亞電影台,港澳台,https://php.946985.filegear-sg.me/mytv265.php?id=CMAM,01,{},short-body,2671,2671,13176,,,,fail
Thrill,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=CTHR,01,{},short-body,3154,3154,10166,,,,fail
天映經典頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CCCM,01,{},short-body,3052,3052,12817,,,,fail
中國電影頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CMC,01,{},short-body,2625,2625,10143,,,,fail
ROCK Action,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=CRTX,01,{},short-body,10475,10475,4159,,,,fail
ROCK Extreme,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=RKEX,01,{},short-body,2626,2626,10166,,,,fail
ROCK 綜藝娛樂,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CRTE,01,{},short-body,2771,2771,10166,,,,fail
KIX,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=CKIX,01,{},short-body,9093,9093,13175,,,,fail
Love Nature,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=LNH,01,{},short-body,2580,2580,13145,,,,fail
Love Nature 4K,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=LN4,01,{},short-body,6677,6677,13521,,,,fail
Global Trekker,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=SMS,01,{},short-body,3467,3467,10143,,,,fail
tvN,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV,01,{},short-body,5659,5659,13175,,,,fail
無線衛星亞洲台,港澳台,https://php.946985.filegear-sg.me/mytv265.php?id=CTS1,01,{},short-body,6059,6059,10533,,,,fail
創世電視,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CRE,01,{},short-body,2610,2610,10148,,,,fail
FashionBox,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=FBX,01,{},short-body,4990,4990,33,,,,fail
Mezzo Live,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=CMEZ,01,{},not-video,4088,4088,200001,unknown,,,fail
PopC,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=POPC,01,{},short-body,7053,7053,10167,,,,fail
無線衛星新聞台,港台新闻,https://php.946985.filegear-sg.me/mytv265.php?id=CTSN,01,{},short-body,4578,4578,10533,,,,fail
亞洲新聞台,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CCNA,01,{},short-body,3036,3036,10166,,,,fail
半島電視台英語頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CJAZ,01,{},short-body,7284,7284,9808,,,,fail
France 24 English,国际新闻,https://php.946985.filegear-sg.me/mytv265.php?id=CF24,01,{},short-body,3559,3559,9808,,,,fail
DW English,国际新闻,https://php.946985.filegear-sg.me/mytv265.php?id=CDW1,01,{},short-body,3459,3459,10166,,,,fail
NHK World-Japan,国际新闻,https://php.946985.filegear-sg.me/mytv265.php?id=CNHK,01,{},short-body,2764,2764,10167,,,,fail
Arirang,国际新闻,https://php.946985.filegear-sg.me/mytv265.php?id=CARI,01,{},short-body,3091,3091,10166,,,,fail
SUPER Sports,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=SSPT,01,{},not-video,2789,2789,73714,unknown,,,fail
myTV SUPER 18台,地方,https://php.946985.filegear-sg.me/mytv265.php?id=C18,01,{},not-video,8114,8114,200001,unknown,,,fail
myTV SUPER 直播足球2台,体育,https://php.946985.filegear-sg.me/mytv265.php?id=EVT2,01,{},short-body,3604,3604,13184,,,,fail
myTV SUPER 直播足球3台,体育,https://php.946985.filegear-sg.me/mytv265.php?id=EVT3,01,{},short-body,4658,4658,13184,,,,fail
myTV SUPER直播足球4台,体育,https://php.946985.filegear-sg.me/mytv265.php?id=EVT4,01,{},short-body,1861,1861,13184,,,,fail
myTV SUPER 直播足球5台,体育,https://php.946985.filegear-sg.me/mytv265.php?id=EVT5,01,{},short-body,3546,3546,13184,,,,fail
myTV SUPER 直播足球6台,体育,https://php.946985.filegear-sg.me/mytv265.php?id=EVT6,01,{},short-body,3287,3287,13184,,,,fail
myTV SUPER 直播足球7台,体育,https://php.946985.filegear-sg.me/mytv265.php?id=EVT7,01,{},short-body,6677,6677,13184,,,,fail
互動窗 1,地方,https://php.946985.filegear-sg.me/mytv265.php?id=C3,01,{},short-body,5371,5371,10137,,,,fail
互動窗 2,地方,https://php.946985.filegear-sg.me/mytv265.php?id=C2,01,{},short-body,3089,3089,10137,,,,fail
SUPER Kids Channel,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=KID,01,{},short-body,2272,2272,24861,,,,fail
ZooMoo,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=ZOO,01,{},short-body,2230,2230,13162,,,,fail
Nickelodeon,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=CNIKO,01,{},short-body,4069,4069,13207,,,,fail
Nick Jr.,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=CNIJR,01,{},short-body,1892,1892,10191,,,,fail
SUPER 獎門人,地方,https://php.946985.filegear-sg.me/mytv265.php?id=SVAR,01,{},not-video,1920,1920,107792,unknown,,,fail
SUPER EYT,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=SEYT,01,{},not-video,3988,3988,101432,unknown,,,fail
SUPER 識食,地方,https://php.946985.filegear-sg.me/mytv265.php?id=SFOO,01,{},not-video,1685,1685,112525,unknown,,,fail
SUPER 識嘆,地方,https://php.946985.filegear-sg.me/mytv265.php?id=STRA,01,{},not-video,4025,4025,128523,unknown,,,fail
SUPER Music,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=SMUS,01,{},not-video,1779,1779,87237,unknown,,,fail
SUPER 金曲,地方,https://php.946985.filegear-sg.me/mytv265.php?id=SGOL,01,{},not-video,1990,1990,100580,unknown,,,fail
SUPER 煲劇,地方,https://php.946985.filegear-sg.me/mytv265.php?id=SSIT,01,{},not-video,2338,2338,85162,unknown,,,fail
SUPER 單元劇,地方,https://php.946985.filegear-sg.me/mytv265.php?id=STVM,01,{},not-video,6673,6673,93114,unknown,,,fail
真情SUPER煲,地方,https://php.946985.filegear-sg.me/mytv265.php?id=SDOC,01,{},not-video,8363,8363,94769,unknown,,,fail
中央電視台 綜合頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CC1,01,{},short-body,1584,1584,10143,,,,fail
中央電視台 中文國際頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CC4,01,{},short-body,3687,3687,8278,,,,fail
中央電視台 娛樂頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CCE,01,{},short-body,4563,4563,8284,,,,fail
中央電視台 戲曲頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=CCO,01,{},short-body,7085,7085,8281,,,,fail
CGTN 纪录,央视,https://php.946985.filegear-sg.me/mytv265.php?id=CGD,01,{},short-body,1987,1987,10143,,,,fail
CGTN,央视,https://php.946985.filegear-sg.me/mytv265.php?id=CGE,01,{},short-body,4000,4000,10144,,,,fail
云南瀾湄國際卫视,卫视,https://php.946985.filegear-sg.me/mytv265.php?id=YNTV,01,{},short-body,4276,4276,8299,,,,fail
东方卫视,卫视,https://php.946985.filegear-sg.me/mytv265.php?id=DTV,01,{},short-body,1924,1924,10143,,,,fail
安徽廣播電視台國際頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=AHTV,01,{},short-body,9767,9767,8300,,,,fail
北京電視台國際頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=BJTV,01,{},short-body,3575,3575,8300,,,,fail
廣西電視台國際頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=GXTV,01,{},short-body,1013,1013,33,,,,fail
福建海峽衛視國際頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=FJTV,01,{},short-body,3913,3913,8296,,,,fail
湖南電視台國際頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=HNTV,01,{},short-body,9768,9768,8301,,,,fail
江蘇電視台國際頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=JSTV,01,{},short-body,6885,6885,8298,,,,fail
大湾区卫视,卫视,https://php.946985.filegear-sg.me/mytv265.php?id=GBTV,01,{},short-body,3148,3148,8298,,,,fail
浙江電視台國際頻道,地方,https://php.946985.filegear-sg.me/mytv265.php?id=ZJTV,01,{},short-body,9370,9370,8300,,,,fail
深圳卫视,卫视,https://php.946985.filegear-sg.me/mytv265.php?id=SZTV,01,{},short-body,4880,4880,8301,,,,fail
Action Hollywood Movies,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=ACTM,01,{},ok,10550,2055,200001,unknown,,,pass
Rialto Classic Movies (RCM),海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=RCM,01,{},ok,5151,1579,200001,unknown,,,pass
NewsWorld,港台新闻,https://php.946985.filegear-sg.me/mytv265.php?id=NSWD,01,{},ok,4733,1697,200001,unknown,,,pass
Trace Sport Stars,体育,https://php.946985.filegear-sg.me/mytv265.php?id=TRSP,01,{},ok,4651,2877,200001,unknown,,,pass
Trace Urban,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=TRUR,01,{},ok,6170,2873,200001,unknown,,,pass
Pet Club TV,港澳台,https://php.946985.filegear-sg.me/mytv265.php?id=PETC,01,{},ok,4742,1883,200001,unknown,,,pass
Globetrotter,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=GLBT,01,{},ok,3334,1585,200001,unknown,,,pass
Docsville,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=DOCV,01,{},ok,3702,1839,200001,unknown,,,pass
Pulse Documentaries,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=PULS,01,{},ok,5005,1758,200001,unknown,,,pass
Now 70s,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=NOW7,01,{},ok,3258,1580,200001,unknown,,,pass
Now 80s,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=NOW8,01,{},ok,4942,2382,200001,unknown,,,pass
NOW 90s00s,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=NOW9,01,{},ok,5773,2343,200001,unknown,,,pass
NOW ROCK,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=NOWR,01,{},ok,8073,1765,200001,unknown,,,pass
Concerto,海外·综合,https://php.946985.filegear-sg.me/mytv265.php?id=CONC,01,{},ok,3428,1560,200001,unknown,,,pass
00s Replay,海外·电影,https://jmp2.uk/plu-62ba60f059624e000781c436.m3u8,02,{},ok,2167,2003,200001,h264,640,360,pass
1+1 International,海外·综合,http://158.101.222.193:88/georgia_play.php?id=1plus1international,02,"{""User-Agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36""}",no-response,5153,0,0,,,,fail
1+1 International,海外·综合,https://dash2.antik.sk/live/test_one_plus_one_int_tizen/playlist.m3u8,02,{},ok,1030,2903,1912900,h264,1920,1080,pass
1+1 Marafon,海外·综合,https://dash2.antik.sk/live/1plus1_marathon/playlist.m3u8,02,{},ok,1112,4374,2429712,h264,1920,1080,pass
1+1 Ukraina,海外·综合,http://stream.mcquack.net/219/index.m3u8,02,"{""User-Agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36""}",ok,1104,2966,2364288,h264,1920,1080,pass
1-2-3 TV,海外·综合,https://123tv-mx1.flex-cdn.net/index.m3u8,02,{},variant-http-0,1522,0,0,,,,fail
1Almere TV,海外·综合,https://d3472rjicrodic.cloudfront.net/nlpo/clr-nlpo/709d5260/index.m3u8,02,{},ok,1852,2895,220524,h264,480,270,pass
